team,name,number,position,height_cm,weight_kg,nationality
고양 소노 스카이거너스,이재도,4.0,포인트 가드,180.0,83.0,KOR
고양 소노 스카이거너스,이정현B,6.0,포인트 가드/슈팅 가드,187.0,86.4,KOR
고양 소노 스카이거너스,이동엽,7.0,포인트 가드/슈팅 가드,192.5,85.0,KOR
고양 소노 스카이거너스,소준혁,20.0,슈팅 가드,184.8,82.1,KOR
고양 소노 스카이거너스,김진유,55.0,슈팅 가드,188.0,83.0,KOR
고양 소노 스카이거너스,정희재,9.0,파워 포워드,195.0,94.0,KOR
고양 소노 스카이거너스,안정욱,10.0,스몰 포워드/파워 포워드,194.0,92.0,KOR
고양 소노 스카이거너스,서동원,11.0,스몰 포워드,193.0,93.0,KOR
고양 소노 스카이거너스,임동섭,13.0,스몰 포워드,198.0,93.0,KOR
고양 소노 스카이거너스,이근준,14.0,스몰 포워드,195.0,88.0,KOR
고양 소노 스카이거너스,신지원,17.0,파워 포워드,197.2,97.0,KOR
고양 소노 스카이거너스,케빈 켐바오,28.0,스몰 포워드/파워 포워드,195.0,97.0,PHI
고양 소노 스카이거너스,최승욱,77.0,스몰 포워드,192.4,82.0,KOR
고양 소노 스카이거너스,강지훈,12.0,센터,200.7,100.0,KOR
고양 소노 스카이거너스,조재우,15.0,센터,199.3,97.0,KOR
울산 현대모비스 피버스,다리우스 베즐리,99.0,포워드,206.0,94.0,USA
울산 현대모비스 피버스,게이지 프림,50.0,센터,206.0,110.0,USA
수원 KT 소닉붐,트레이 포터,55.0,센터,211.0,107.0,USA
울산 현대모비스 피버스,제리 아바디아노,10.0,포인트 가드/슈팅 가드,181.0,78.0,PHI
고양 소노 스카이거너스,스카티 제임스,4.0,파워 포워드,202.0,100.0,USA
고양 소노 스카이거너스,조니 오브라이언트,32.0,파워 포워드/센터,206.0,118.0,USA
대구 한국가스공사 페가수스,케베 알루마,44.0,파워 포워드,206.0,104.0,USA
부산 KCC 이지스,루이스 킹,,스몰 포워드,201.0,92.0,USA
부산 KCC 이지스,윌리엄 나바로,23.0,포워드,196.0,90.0,PHI
부산 KCC 이지스,서정현,32.0,파워 포워드,199.0,95.0,KOR
울산 현대모비스 피버스,김경원,17.0,센터,198.1,101.4,KOR
서울 SK 나이츠,김수환,,슈팅 가드,189.0,88.0,KOR
대구 한국가스공사 페가수스,염유성,10.0,슈팅 가드,186.5,84.7,KOR
